# x_m,y_m
-1.0608523,-1.1355799
-1.0644839,-1.1388848
-1.0689053,-1.1402821
-1.0729346,-1.1426266
-1.0769584,-1.1449843
-1.0819582,-1.1449843
-1.0862990,-1.1465762
-1.0900112,-1.1496865
-1.0950111,-1.1496865
-1.0996635,-1.1505258
-1.1032003,-1.1540598
-1.1080639,-1.1543887
-1.1130638,-1.1543887
-1.1179417,-1.1546831
-1.1214785,-1.1582172
-1.1261167,-1.1590909
-1.1311165,-1.1590909
-1.1361163,-1.1590909
-1.1411162,-1.1590909
-1.1446706,-1.1625823
-1.1491692,-1.1637931
-1.1541690,-1.1637931
-1.1591689,-1.1637931
-1.1641687,-1.1637931
-1.1691685,-1.1637931
-1.1741684,-1.1637931
